,MPAS_thompson_ntiedtke
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,0.0
2022-02-15 03:00:00,0.0
2022-02-15 04:00:00,0.0
2022-02-15 05:00:00,0.0
2022-02-15 06:00:00,0.0
2022-02-15 07:00:00,0.0
2022-02-15 08:00:00,0.0
2022-02-15 09:00:00,0.0
2022-02-15 10:00:00,0.0
2022-02-15 11:00:00,0.0
2022-02-15 12:00:00,0.028876401
2022-02-15 13:00:00,0.29234052
2022-02-15 14:00:00,0.5821004
2022-02-15 15:00:00,1.1059754
2022-02-15 16:00:00,1.5922602
2022-02-15 17:00:00,3.229179
2022-02-15 18:00:00,7.8404045
2022-02-15 19:00:00,21.109814
2022-02-15 20:00:00,24.803812
2022-02-15 21:00:00,28.358337
2022-02-15 22:00:00,31.267849
2022-02-15 23:00:00,31.865019
2022-02-16 00:00:00,33.700752
