,MPAS_thompson_off
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,0.0
2022-02-15 03:00:00,0.0
2022-02-15 04:00:00,0.0
2022-02-15 05:00:00,0.0
2022-02-15 06:00:00,0.0
2022-02-15 07:00:00,0.0
2022-02-15 08:00:00,0.0
2022-02-15 09:00:00,0.0
2022-02-15 10:00:00,0.0
2022-02-15 11:00:00,0.0
2022-02-15 12:00:00,1.4446223e-07
2022-02-15 13:00:00,0.020733025
2022-02-15 14:00:00,0.14595482
2022-02-15 15:00:00,0.2645759
2022-02-15 16:00:00,0.97130036
2022-02-15 17:00:00,2.207955
2022-02-15 18:00:00,5.449528
2022-02-15 19:00:00,6.828395
2022-02-15 20:00:00,10.93795
2022-02-15 21:00:00,11.637371
2022-02-15 22:00:00,11.639831
2022-02-15 23:00:00,11.722715
2022-02-16 00:00:00,18.736458
