,MPAS_wsm6_ntiedtke
2022-02-15 01:00:00,0.0
2022-02-15 02:00:00,0.0
2022-02-15 03:00:00,6.745098e-36
2022-02-15 04:00:00,6.828251e-36
2022-02-15 05:00:00,1.240864e-10
2022-02-15 06:00:00,9.715366e-07
2022-02-15 07:00:00,9.787472e-07
2022-02-15 08:00:00,9.788655e-07
2022-02-15 09:00:00,9.788655e-07
2022-02-15 10:00:00,9.788655e-07
2022-02-15 11:00:00,0.040843964
2022-02-15 12:00:00,0.27654538
2022-02-15 13:00:00,0.7463199
2022-02-15 14:00:00,1.1403855
2022-02-15 15:00:00,1.34821
2022-02-15 16:00:00,1.9766375
2022-02-15 17:00:00,2.6400065
2022-02-15 18:00:00,10.493922
2022-02-15 19:00:00,15.445725
2022-02-15 20:00:00,24.329903
2022-02-15 21:00:00,25.971731
2022-02-15 22:00:00,30.565193
2022-02-15 23:00:00,31.308731
2022-02-16 00:00:00,31.927296
